Data object,Field name,Data type,Display name (en_US),Sample(s),Description,Alternative wording,Category,Business scenarios,Used as identifier (default csv schema)
FactorGroup,factorCode,String,Factor code,Machinery,A classification code that groups factors together across regions.,,,,required fields: factorCode
FactorGroup,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
FactorGroup,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
FactorGroup,secondaryIdentifier,String,Secondary identifier,123456,Optional code to link a factor group to external group sources.,identifier: id|number|code|num|no.,,,
FinancialAsset,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,,,   --------   
FinancialAsset,financialAssetIdentifier,String,Financial asset identifier,,Unique identifier for the financial asset.,asset: building|structure|property; identifier: id|number|code|num|no.,,,required fields: financialAssetIdentifier
FinancialAsset,actualEndDate,DateTime,Actual end date,,Date and time that the financial asset actually ended.,date: time|timestamp,,,
FinancialAsset,additionalInfo,[NameValuePair],Additional info,,Additional information about the financial asset.,,,,
FinancialAsset,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
FinancialAsset,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
FinancialAsset,asset,Asset,Asset,,Reference to the underlying asset for this financial asset.,asset: building|structure|property,,,
FinancialAsset,assetValueAtOrigination,Float,Asset value at origination,,Value of the financial asset at origination.,asset: building|structure|property,,,
FinancialAsset,attributionFactor,Float,Attribution factor,,The amount of the underlying asset that is attributed to this financial asset.,,,,
FinancialAsset,attributionFactorCalculation,Calculation,Attribution factor calculation,,calculation metadata object,,,,
FinancialAsset,calculatedNumValue,Float,Calculated num value,,,,,,
FinancialAsset,calculatedStringValue,String,Calculated string value,,,,,,
FinancialAsset,financialAssetStatus,String,Financial asset status,,The current state of the financial asset between its start and end dates,asset: building|structure|property,,,
FinancialAsset,financialProduct,Product,Financial product,,Reference to the the financial product for this financial asset.,product: creation|prod,,,
FinancialAsset,name,String,Name,,Descriptive name of the financial asset,,,,
FinancialAsset,portfolio,Organization,Portfolio,,Reference to the portfolio which owns this financial asset.,,,,
FinancialAsset,riskProfile,String,Risk profile,,Summarizes the potential for loss and volatility on an investment made,,,,
FinancialAsset,scheduledEndDate,DateTime,Scheduled end date,,Date and time that the financial asset was scheduled to end.,date: time|timestamp,,,
FinancialAsset,startDate,DateTime,Start date,,Date and time that the financial asset was started.,date: time|timestamp,,,
FinancialAsset,status,String,Status,,Status of the financial asset.,,,,
FinancialAsset,value,Float,Value,,Current value of the financial asset.,,,,
FinancialAsset,valueUnits,String,Value units,,Units of measure of the financial asset value. Standard UOM or ISO format.,,,,
FinancialAssetTimeSeries,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,,,   --------   
FinancialAssetTimeSeries,startDate,DateTime,Start date,,Date and time that the financial asset time series was started.,date: time|timestamp,,,required fields: startDate
FinancialAssetTimeSeries,seriesType,String,Series type,"FORECAST, ACTUAL","Type of time series data, which is used for categorization or filtering.",,,,required fields: seriesType
FinancialAssetTimeSeries,financialAsset,FinancialAsset,Financial asset,,Reference to financial asset record for these time series metrics.,asset: building|structure|property,,,required fields: financialAsset.financialAssetIdentifier
FinancialAssetTimeSeries,duration,Float,Duration,1,Hours are represented in the time series metrics.,,,,required fields: duration
FinancialAssetTimeSeries,additionalInfo,[NameValuePair],Additional info,,Additional information about the financial asset.,,,,
FinancialAssetTimeSeries,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
FinancialAssetTimeSeries,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
FinancialAssetTimeSeries,assetSnapShot,AssetSnapshot,Asset snap shot,,Reference to the underlying assetSnapshot for this financial asset time series.,asset: building|structure|property,,,
FinancialAssetTimeSeries,assetValueAtOrigination,Float,Asset value at origination,,Value of the financial asset time series at origination.,asset: building|structure|property,,,
FinancialAssetTimeSeries,attributionFactor,Float,Attribution factor,,The amount of the underlying asset that is attributed to this financial asset time series.,,,,
FinancialAssetTimeSeries,calculatedNumValue,Float,Calculated num value,,,,,,
FinancialAssetTimeSeries,calculatedStringValue,String,Calculated string value,,,,,,
FinancialAssetTimeSeries,seriesSubType,String,Series sub type,,"Sub type of time series data, used for secondary categorization or filtering",,,,
FinancialAssetTimeSeries,status,String,Status,,Status of the FinancialAssetTimeSeries.,,,,
FinancialAssetTimeSeries,value,Float,Value,,Current value of the financial asset time series.,,,,
FinancialAssetTimeSeries,valueUnits,String,Value units,,Units of measure of the Financial Asset Time Series value. Standard UOM or ISO format.,,,,
OrderLineTimeSeries,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,,,   --------   
OrderLineTimeSeries,supplier,Organization,Supplier,,Reference to supplier associated with the shipment.,,,,required fields: supplier.organizationIdentifier
OrderLineTimeSeries,startDate,DateTime,Start date,,Date and time that signifies the starting point in time for this summary of orderline information.,date: time|timestamp,,,required fields: startDate
OrderLineTimeSeries,seriesType,String,Series type,,"Type of time series data, which is used for categorization or filtering.",,,,required fields: seriesType
OrderLineTimeSeries,product,Product,Product,,Reference to the product that is contained in the order line.,product: creation|prod,,,required fields: product.partNumber
OrderLineTimeSeries,endDate,DateTime,End date,,Date and time that signifies the ending point in time for this summary of orderline information.,date: time|timestamp,,,required fields: endDate
OrderLineTimeSeries,shipToLocation,Location,Ship to location,,A reference to the location to which the orderline is shipped.,ship: shipped; location: parcel,,,optional fields: shipToLocation.locationIdentifier (default = '')
OrderLineTimeSeries,seriesSubType,String,Series sub type,,"Sub type of time series data, used for secondary categorization or filtering",,,,optional fields: seriesSubType (default = '')
OrderLineTimeSeries,buyer,Organization,Buyer,,Reference to customer associated with the order.,,,,optional fields: buyer.organizationIdentifier (default = '')
OrderLineTimeSeries,additionalInfo,[NameValuePair],Additional info,,Additional information about the financial asset.,,,,
OrderLineTimeSeries,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
OrderLineTimeSeries,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
OrderLineTimeSeries,calculatedNumValue,Float,Calculated num value,,,,,,
OrderLineTimeSeries,calculatedStringValue,String,Calculated string value,,,,,,
OrderLineTimeSeries,orderLineCount,Int,Order line count,,The count of orderlines in this summary of orderlines.,order: PO|sale|sold,,,
OrderLineTimeSeries,totalEmissions,Float,Total emissions,,The sum of all the emissions for all the orderlines in this summary of orderlines.,,,,
OrderLineTimeSeries,totalQuantity,Float,Total quantity,,The sum of all the quantities ordered across all the orderlines in this summary of orderlines.,quantity: qty,,,
OrderLineTimeSeries,totalValue,Float,Total value,,The sum of all the orderline values across all the orderlines in this summary of orderlines.,,,,
OrderAllocation,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Allocation,Inventory allocation,   --------   
OrderAllocation,productItem,Product,Product item,(see object),Reference to product item associated with the order allocation.,product: creation|prod,,,required fields: productItem.partNumber
OrderAllocation,orderLine,OrderLine,Order line,(see object),Reference to the order line associated with the order allocation.,order: PO|sale|sold,,,required fields: orderLine.order.orderIdentifier; orderLine.orderLineNumber
OrderAllocation,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
OrderAllocation,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
OrderAllocation,allocationComment,String,Allocation comment,"9/15/2017, 500",Comments regarding how the inventory was allocated.,,,,
OrderAllocation,alternateItems,[String],Alternate items,"45W2942, 44R2234",A list of alternative products that might be substituted for this order line.,,,,
OrderAllocation,calculatedNumValue,Float,Calculated num value,,,,,,
OrderAllocation,calculatedStringValue,String,Calculated string value,,,,,,
OrderAllocation,quantityAllocated,Float,Quantity allocated,25,Quantity of on-hand product inventory allocated for this order line.,quantity: qty,,,
OrderAllocation,quantityAllocatedUnits,String,Quantity allocated units,EA,Units of measure from the source system.  Standard UOM or ISO format.,quantity: qty,,,
OrderAllocation,quantityRequired,Float,Quantity required,49,A necessary quantity of this product for this order line.,quantity: qty,,,
OrderAllocation,quantityRequiredUnits,String,Quantity required units,EA,Units of measure from the source system.  Standard UOM or ISO format.,quantity: qty,,,
OrderAllocation,quantityShort,Float,Quantity short,24,A calculated entry. The quantity of a product that is necessary for this order line but not available.,quantity: qty,,,
OrderAllocation,sourceLink,String,Source link,http://source-system.com/home.html,A direct link to the source of the data if available.,,,,
ProductAssociation,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Allocation,Inventory allocation,   --------   
ProductAssociation,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
ProductAssociation,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
ProductAssociation,calculatedNumValue,Float,Calculated num value,,,,,,
ProductAssociation,calculatedStringValue,String,Calculated string value,,,,,,
ProductAssociation,lineIdentifier,String,Line identifier,,"Identifier, which designates the product.",identifier: id|number|code|num|no.,,,
ProductAssociation,lineIdentifierQualifier,String,Line identifier qualifier,,Information about which product designation format is used.,identifier: id|number|code|num|no.,,,
ProductAssociation,lineIdentifierValue,String,Line identifier value,,Value designating the product identification standard.,identifier: id|number|code|num|no.,,,
ProductAssociation,product,Product,Product,,Reference to the product that this association refers to.,product: creation|prod,,,
ProductAssociation,productAssociationIdentifier,String,Product association identifier,,Unique identifier for a specific product association.,product: creation|prod; identifier: id|number|code|num|no.,,,
ProductAssociation,sourceLink,String,Source link,,Direct link to the source of data if available.,,,,
ProductAssociation,upc,String,Upc,,A universal product code (UPC).,,,,
ProductAssociation,upcQualifier,String,Upc qualifier,,Information about which universal product association (UPC) standard is used.,,,,
ProductAssociation,upcValue,String,Upc value,,Value designating the universal product association (UPC) standard.,,,,
Asset,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Asset management,Asset management,   --------   
Asset,assetIdentifier,String,Asset ID,MA-DT301-IV,Unique identifier for asset.,asset: building|structure|property; identifier: id|number|code|num|no.,,,required fields: assetIdentifier
Asset,assetType,String,Asset type,TURBINE,This item is used to manage different asset types.,asset: building|structure|property,,,optional fields: assetType (default = 'STATIC')
Asset,activeTimeSeries,AssetTimeSeries,Active time series,,,time: date|timestamp,,,
Asset,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
Asset,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
Asset,area,Float,Area,,,,,,
Asset,areaUnit,String,Area unit,,,,,,
Asset,assetBoundary,String,Asset boundary,,A visual or textual description of the geographical boundary of the asset. For example a list of geo points describing the outer boundary of the asset,asset: building|structure|property,,,
Asset,assetClass,Product,Product,(see object),Reference to main data about the class of asset.,asset: building|structure|property,,,
Asset,calculatedEmissions,CalculatedEmissionsRecord,Calculated emissions,(see object),A set of calculated emissions metrics for this asset.,,,,
Asset,calculatedNumValue,Float,Calculated num value,,,,,,
Asset,calculatedStringValue,String,Calculated string value,,,,,,
Asset,classificationSubType,String,Classification sub type,,,,,,
Asset,classificationType,String,Classification type,,,,,,
Asset,contacts,ContactsCursor,Contacts,(see object),Reference to the primary contact for the asset.,,,,
Asset,currentLocationCoordinates,String,Current location coordinates,"35.792603, -78.883066","Geospatial coordnates of the last known position of the asset (latitude, longitude).",location: parcel,,,
Asset,description,String,Description,Assurua Turbine #301,Description of the asset.,,,,
Asset,elevation,Float,Elevation,1158,Mean height above sea level where the asset is located.,,,,
Asset,elevationUnits,String,Elevation units,m,Units of measure from the source system.  Standard UOM or ISO format.,,,,
Asset,emissionsCalculations,EmissionsCalculations,Emissions calculations,,Emissions calculation details,,,,
Asset,emissionsDataSources,EmissionsDataSources,Emissions data sources,(see object),A set of reported emissions related metrics for this asset.,,,,
Asset,installationDate,DateTime,Installation date,2023-06-28T14:30:36+0000,The date and time that the asset was installed (ISO 8601).,date: time|timestamp,,,
Asset,location,Location,Location,(see object),Reference to main data about the location where this asset is located.,location: parcel,,,
Asset,locationSummary,LocationSummary,Location summary,,A summary of high level location attributes for the asset.,location: parcel,,,
Asset,metric1,Float,Metric1,100,Current measurement of the metric for the asset.,,,,
Asset,metric1LowerLimit,Float,Metric1 lower limit,50,The wanted lower limit or boundary for the asset metric.,,,,
Asset,metric1QuantityAboveUpperLimit,Float,Metric1 quantity above upper limit,10,A calculated entry. The quantity above the recorded upper limit for this asset.,quantity: qty,,,
Asset,metric1QuantityBelowLowerLimit,Float,Metric1 quantity below lower limit,10,A calculated entry. The quantity below the recorded lower limit for this asset.,quantity: qty,,,
Asset,metric1Units,String,Metric1 units,MW,Units of measure from the source system.  Standard UOM or ISO format.,,,,
Asset,metric1UpperLimit,Float,Metric1 upper limit,5,The wanted upper limit or boundary for the asset metric.,,,,
Asset,metric2,Float,Metric2,23.2,Current measurement of the metric for the asset.,,,,
Asset,metric2LowerLimit,Float,Metric2 lower limit,50,The wanted lower limit or boundary for the asset metric.,,,,
Asset,metric2QuantityAboveUpperLimit,Float,Metric2 quantity above upper limit,10,A calculated entry. The quantity above the recorded upper limit for this asset.,quantity: qty,,,
Asset,metric2QuantityBelowLowerLimit,Float,Metric2 quantity below lower limit,10,A calculated entry. The quantity below the recorded lower limit for this asset.,quantity: qty,,,
Asset,metric2Units,String,Metric2 units,m/s,Units of measure from the source system.  Standard UOM or ISO format.,,,,
Asset,metric2UpperLimit,Float,Metric2 upper limit,5,The wanted upper limit or boundary for the asset metric.,,,,
Asset,metric3,Float,Metric3,23.2,Current measurement of the metric for the asset.,,,,
Asset,metric3LowerLimit,Float,Metric3 lower limit,50,The wanted lower limit or boundary for the asset metric.,,,,
Asset,metric3QuantityAboveUpperLimit,Float,Metric3 quantity above upper limit,10,A calculated entry. The quantity above the recorded upper limit for this asset.,quantity: qty,,,
Asset,metric3QuantityBelowLowerLimit,Float,Metric3 quantity below lower limit,10,A calculated entry. The quantity below the recorded lower limit for this asset.,quantity: qty,,,
Asset,metric3Units,String,Metric3 units,m/s,Units of measure from the source system.  Standard UOM or ISO format.,,,,
Asset,metric3UpperLimit,Float,Metric3 upper limit,5,The wanted upper limit or boundary for the asset metric.,,,,
Asset,metricsTimestamp,DateTime,Metrics timestamp,2023-06-28T14:30:36+0000,Date and time that the metric was recorded.,timestamp: date|time,,,
Asset,name,String,Name,MA-DT301-IV,Descriptive name of the asset.,,,,
Asset,parentAssetIdentifier,String,Parent asset identifier,MA-BANK-2,Necessary at ingest to create a parent asset reference.,asset: building|structure|property; identifier: id|number|code|num|no.,,,
Asset,parentAssetType,String,Parent asset type,FIXED ASSET,This parent asset type is not necessary. It is used for categorization or filtering,asset: building|structure|property,,,
Asset,parentOrganization,Organization,Parent organization,,Reference to an owning or parent organization when it exists,organization: buyer|vendor|carrier|supplier|customer|org,,,
Asset,priorLocationCoordinates,String,Prior location coordinates,"35.792603, -78.883066","Geospatial coordinates of the prior known position of the asset (latitude, longitude).",location: parcel,,,
Asset,revenue,Float,Revenue,100000,Reported revenue of the organization.,,,,
Asset,revenueCurrency,String,Revenue currency,USD/year,Units of measure of the organization value. Typically USD/year.,,,,
Asset,revenueSource,ComplianceRecord,Revenue source,(see object),Reference to the source record that provided the reported revenue.,,,,
Asset,sector,Catalog,Sector,(see object),The sector of the asset which is used for categorization or filtering.,,,,
Asset,sourceLink,String,Source link,http://source-system.com/home.html,A direct link to the source of the data if available.,,,,
Asset,status,String,Asset status,Active,"Status of the asset. For example, Active.",,,,
Asset,structureCount,Int,Structure count,,Count of buildings or structures for real estate type assets,,,,
Asset,subSector,Catalog,Sub sector,(see object),The sub-sector of the asset which is used for categorization or filtering.,,,,
Asset,subSector2,Catalog,Sub sector2,(see object),The next level sub-sector of the asset which is used for categorization or filtering,,,,
Asset,totalOutput,Float,Total output,,Reported production output of the asset.,,,,
Asset,totalOutputSource,ComplianceRecord,Total output source,,Reference to the source record that provided the output value.,,,,
Asset,totalOutputUnits,String,Total output units,,Units of measure of the organization production or output. Typically kg/year,,,,
Asset,value,Float,Value,100,Current measurement of the asset value.,,,,
Asset,valueSource,ComplianceRecord,Value source,(see object),Reference to the source record that provided the asset value.,,,,
Asset,valueUnits,String,Value units,USD,Units of measure of the asset value. Standard UOM or ISO format.,,,,
AssetTimeSeries,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,Asset management,Asset management,   --------   
AssetTimeSeries,startDate,DateTime,Start date,2023-06-28,The date and time that the metric starts (ISO 8601).,date: time|timestamp,,,required fields: startDate
AssetTimeSeries,seriesType,String,Series type,"FORECAST, ACTUAL","Type of time series data, which is used for categorization or filtering.",,,,required fields: seriesType
AssetTimeSeries,duration,Float,Duration,1,Hours are represented in the time series metrics.,,,,required fields: duration
AssetTimeSeries,asset,Asset,Asset,(see object),Reference to asset record for these time series metrics.,asset: building|structure|property,,,required fields: asset.assetIdentifier
AssetTimeSeries,seriesSubType,String,Series sub type,,"Sub type of time series data, used for secondary categorization or filtering",,,,optional fields: seriesSubType (default = '')
AssetTimeSeries,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
AssetTimeSeries,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
AssetTimeSeries,calculatedNumValue,Float,Calculated num value,,,,,,
AssetTimeSeries,calculatedStringValue,String,Calculated string value,,,,,,
AssetTimeSeries,locationCoordinates,String,Location coordinates,"35.792603, -78.883066","Geospatial coordinates of the asset during this time period (latitude, longitude).",location: parcel,,,
AssetTimeSeries,metric1,Float,Metric1,100,Current measurement of metric one for the asset.,,,,
AssetTimeSeries,metric1Units,String,Metric1 units,MWH,Units of measure from the source system.  Standard UOM or ISO format.,,,,
AssetTimeSeries,metric2,Float,Metric2,23.2,Current measurement of metric two for the asset.,,,,
AssetTimeSeries,metric2Units,String,Metric2 units,m/s,Units of measure from the source system.  Standard UOM or ISO format.,,,,
AssetTimeSeries,metric3,Float,Metric3,59,Current measurement of metric three for the asset.,,,,
AssetTimeSeries,metric3Units,String,Metric3 units,C,Units of measure from the source system.  Standard UOM or ISO format.,,,,
AssetTimeSeries,metric4,Float,Metric4,100,Current measurement of metric four for the asset.,,,,
AssetTimeSeries,metric4Units,String,Metric4 units,mmHg,Units of measure from the source system.  Standard UOM or ISO format.,,,,
AssetTimeSeries,reference,String,Reference,PAIRS,Reference information that is indicating the source or details of the plan.,,,,
AssetTimeSeries,source,String,Source,forecast_v2,"Indication of the source system or forecast, which created the data.",,,,
AssetTimeSeries,sourceIdentifier,String,Source identifier,,"An identifier of the object in the source system, which created the data. For example, a unique id of an object representing a raster image output produced by an analytic for a given asset at a specific time",identifier: id|number|code|num|no.,,,
AssetTimeSeries,sourceLink,String,Source link,http://source-system.com/home.html,A direct link to the source of the data if available.,,,,
Acknowledgement,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,B2B transaction,,   --------   
Acknowledgement,ackDate,String,Ack date,,Date and time that the acknowledgment was received.,ack: acknowledgement; date: time|timestamp,,,
Acknowledgement,acknowledgementIdentifier,String,Acknowledgement identifier,,Reference to an Acknowledgment.,identifier: id|number|code|num|no.,,,
Acknowledgement,acknowledgementLines,AcknowledgementLinesCursor,Acknowledgement lines,,Reference to the acknowledgment lines associated with the Acknowledgment.,,,,
Acknowledgement,acknowledgementStatus,String,Acknowledgement status,,Status of the Acknowledgment.,,,,
Acknowledgement,acknowledgementType,String,Acknowledgement type,,"Designates whether an acknowledgment is accepted, rejected, and so on.",,,,
Acknowledgement,acknowledgementValueCurrency,String,Acknowledgement value currency,,Currency designation in ISO 4217 format.,,,,
Acknowledgement,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
Acknowledgement,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
Acknowledgement,billToOrganization,Organization,Bill to organization,,"Reference to the organization, which is to be billed for the Acknowledgment.",organization: buyer|vendor|carrier|supplier|customer|org,,,
Acknowledgement,buyer,Organization,Buyer,,Reference to the buying organization.,,,,
Acknowledgement,calculatedNumValue,Float,Calculated num value,,,,,,
Acknowledgement,calculatedStringValue,String,Calculated string value,,,,,,
Acknowledgement,changeSequence,String,Change sequence,,Change the sequence.,,,,
Acknowledgement,createdDate,String,Created date,,The date and time that the Acknowledgment was created in the source system.,created: creation|create; date: time|timestamp,,,
Acknowledgement,department,String,Department,,Department associated with Acknowledgment.,,,,
Acknowledgement,exclude,String,Exclude,,Exclude Acknowledgment.,,,,
Acknowledgement,freightTerms,String,Freight terms,,Freight terms associated with Acknowledgment.,,,,
Acknowledgement,invoices,InvoicesCursor,Invoices,,Reference to the invoices associated with the Acknowledgment.,,,,
Acknowledgement,lastModifiedDate,String,Last modified date,,The date and time the Acknowledgment was last modified in the source system.,last: lst; modified: update|updated; date: time|timestamp,,,
Acknowledgement,lineCount,Int,Line count,,Count of Acknowledgment lines associated with the Acknowledgment.,,,,
Acknowledgement,order,Order,Order,,Reference to the order associated with the Acknowledgment.,order: PO|sale|sold,,,
Acknowledgement,owningOrganization,Organization,Owning organization,,Reference to the organization which submitted the data.,organization: buyer|vendor|carrier|supplier|customer|org,,,
Acknowledgement,payments,PaymentsCursor,Payments,,Reference to the payments associated with the Acknowledgment.,,,,
Acknowledgement,plannedDeliveryDate,String,Planned delivery date,,The date and time that the Acknowledgment is planned for delivery.,planned: expected|requested; delivery: delv|receipt|recieved|deliv; date: time|timestamp,,,
Acknowledgement,plannedShipDate,String,Planned ship date,,The date and time that fulfillment expects to send the Acknowledgment.,planned: expected|requested; ship: shipped; date: time|timestamp,,,
Acknowledgement,quantity,Float,Quantity,,The number of items associated with the Acknowledgment.,quantity: qty,,,
Acknowledgement,quantityUnits,String,Quantity units,,Units of measurement from the source system associated with Acknowledgment.,quantity: qty,,,
Acknowledgement,requestedDeliveryDate,String,Requested delivery date,,The date and time that the buyer requested that the Acknowledgment is delivered.,requested: expected|planned; delivery: delv|receipt|recieved|deliv; date: time|timestamp,,,
Acknowledgement,requestedShipDate,String,Requested ship date,,The date and time that the buyer requested that the Acknowledgment is sent.,requested: expected|planned; ship: shipped; date: time|timestamp,,,
Acknowledgement,requiredByDate,String,Required by date,,Necessary by the date associated with Acknowledgment.,date: time|timestamp,,,
Acknowledgement,scacCodeInstructions,String,Scac code instructions,,The Standard Carrier Alpha Code (SCAC) code instructions that are associated with Acknowledgment.,,,,
Acknowledgement,seller,Organization,Seller,,Reference to the selling organization.,,,,
Acknowledgement,shipFromInstructionLocation,Location,Ship from instruction location,,Reference to the location associated with the Acknowledgment.,ship: shipped; location: parcel,,,
Acknowledgement,shipToLocation,Location,Ship to location,,Reference to the origin location for the Acknowledgment.,ship: shipped; location: parcel,,,
Acknowledgement,shipments,ShipmentsCursor,Shipments,,Reference to the shipments associated with the Acknowledgment.,,,,
Acknowledgement,sourceLink,String,Source link,,Link to the source.,,,,
Acknowledgement,tag,String,Tag,,Tag Acknowledgment.,,,,
Acknowledgement,totalValue,Float,Total value,,Total value of products or materials in the Acknowledgment.,,,,
Acknowledgement,vendor,Organization,Vendor,,Reference to the vendor associated with the Acknowledgment.,vendor: buyer|organization|carrier|supplier|customer|org,,,
AcknowledgementLine,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,   --------   ,B2B transaction,,   --------   
AcknowledgementLine,ackQuantity,String,Ack quantity,,Quantity of product acknowledged.,ack: acknowledgement; quantity: qty,,,
AcknowledgementLine,ackStatus,String,Ack status,,Acknowledgment status.,ack: acknowledgement,,,
AcknowledgementLine,ackType,String,Ack type,,The type of acknowledgment.,ack: acknowledgement,,,
AcknowledgementLine,acknowledgement,Acknowledgement,Acknowledgement,,Reference to the acknowledgment that contains the Acknowledgment line.,,,,
AcknowledgementLine,acknowledgementLineNumber,String,Acknowledgement line number,,Acknowledgment line number.,number: num|no.,,,
AcknowledgementLine,acknowledgementReleaseKey,String,Acknowledgement release key,,Acknowledgment release key.,,,,
AcknowledgementLine,acknowledgementSublines,AcknowledgementSublinesCursor,Acknowledgement sublines,,Reference to the Acknowledgment sublines associated with the Acknowledgment line.,,,,
AcknowledgementLine,additionalSortableNumValues,[UniqueNameNumberPair],Additional sortable num values,,,,,,
AcknowledgementLine,additionalSortableStringValues,[UniqueNameStringPair],Additional sortable string values,,,,,,
AcknowledgementLine,calculate,String,Calculate,,Calculate the Acknowledgment line.,,,,
AcknowledgementLine,calculatedNumValue,Float,Calculated num value,,,,,,
AcknowledgementLine,calculatedStringValue,String,Calculated string value,,,,,,
AcknowledgementLine,changeCode,String,Change code,,Code of the change.,,,,
AcknowledgementLine,changeStatus,String,Change status,,Change status.,,,,
