Order ID,Order line number,Product ID,Supplier ID,Purchasing organization ID,Purchasing location ID,Quantity,Quantity units,Value,Currency,Shipment date,Status
INF01_2000200007,INF01_100,INF01_1002,INF01_Stanely,INF01_INBank-APAC,INF01_INBank-APAC-Ops,5,EA,1500,USD,2025-01-01,Delivered
INF01_2000200008,INF01_100,INF01_1008,INF01_HP ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,55,EA,60500,USD,2025-01-01,Delivered
INF01_2000200009,INF01_100,INF01_1009,INF01_ASHLEY ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,27,EA,10800,USD,2025-01-01,Delivered
INF01_2000200010,INF01_100,INF01_1010,INF01_Samsung ,INF01_INBank-US,INF01_INBank-US-Ops,75,EA,112500,USD,2025-01-01,Delivered
INF01_2000200011,INF01_100,INF01_1011,INF01_Godrej ,INF01_INBank-US,INF01_INBank-US-Ops,49,EA,9800,USD,2025-01-01,Delivered
INF01_2000200012,INF01_100,INF01_1012,INF01_NCR ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,35,EA,245000,USD,2025-01-01,Delivered
INF01_2000200013,INF01_100,INF01_1013,INF01_Brothers ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,19,EA,9500,USD,2025-01-01,Delivered
INF01_2000200014,INF01_100,INF01_1014,INF01_CZUR ,INF01_INBank-APAC,INF01_INBank-APAC-Ops,7,EA,1050,USD,2025-01-01,Delivered
INF01_2000200015,INF01_100,INF01_1015,INF01_Inspiron ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,57,EA,68400,USD,2025-01-01,Delivered
INF01_2000200016,INF01_100,INF01_1016,INF01_DURIAN ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,28,EA,14000,USD,2025-01-01,Delivered
INF01_2000200017,INF01_100,INF01_1017,INF01_LG ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,74,EA,74000,USD,2025-01-01,Delivered
INF01_2000200018,INF01_100,INF01_1018,INF01_Kores ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,48,EA,9600,USD,2025-01-01,Delivered
INF01_2000200019,INF01_100,INF01_1019,INF01_Triton ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,36,EA,216000,USD,2025-01-01,Delivered
INF01_2000200020,INF01_100,INF01_1020,INF01_Lexmas ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,17,EA,11900,USD,2025-01-01,Delivered
INF01_2000200021,INF01_100,INF01_1021,INF01_Fujitsu ,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,8,EA,1600,USD,2025-01-01,Delivered
INF01_3000100001,INF01_100,INF01_1022,INF01_PGPaper,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,5000,EA,50000,USD,2024-01-01,Delivered
INF01_3000100002,INF01_100,INF01_1023,INF01_CalcoPaper,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,5000,EA,65000,USD,2024-01-01,Delivered
INF01_3000100003,INF01_100,INF01_1024,INF01_Domtar,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,5000,EA,70000,USD,2024-01-01,Delivered
INF01_3000100004,INF01_100,INF01_1025,INF01_Verso,INF01_INBank-US,INF01_INBank-US-Ops,4000,EA,32000,USD,2024-01-01,Delivered
INF01_3000100005,INF01_100,INF01_1026,INF01_Sappi,INF01_INBank-US,INF01_INBank-US-Ops,4000,EA,36000,USD,2024-01-01,Delivered
INF01_3000100006,INF01_100,INF01_1027,INF01_JKaper,INF01_INBank-APAC,INF01_INBank-APAC-Ops,3000,EA,18000,USD,2024-01-01,Delivered
INF01_3000100007,INF01_100,INF01_1028,INF01_WestCoast,INF01_INBank-APAC,INF01_INBank-APAC-Ops,3000,EA,21000,USD,2024-01-01,Delivered
INF01_3000100008,INF01_100,INF01_1029,INF01_ITC,INF01_INBank-APAC,INF01_INBank-APAC-Ops,3000,EA,27000,USD,2024-04-01,Delivered
INF01_3000100009,INF01_100,INF01_1022,INF01_PGPaper,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,4800,EA,48000,USD,2024-04-01,Delivered
INF01_3000100010,INF01_100,INF01_1023,INF01_CalcoPaper,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,5200,EA,67600,USD,2024-04-01,Delivered
INF01_3000100011,INF01_100,INF01_1024,INF01_Domtar,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,4700,EA,65800,USD,2024-04-01,Delivered
INF01_3000100012,INF01_100,INF01_1025,INF01_Verso,INF01_INBank-US,INF01_INBank-US-Ops,4500,EA,36000,USD,2024-04-01,Delivered
INF01_3000100013,INF01_100,INF01_1026,INF01_Sappi,INF01_INBank-US,INF01_INBank-US-Ops,3000,EA,27000,USD,2024-04-01,Delivered
INF01_3000100014,INF01_100,INF01_1027,INF01_JKaper,INF01_INBank-APAC,INF01_INBank-APAC-Ops,2800,EA,16800,USD,2024-04-01,Delivered
INF01_3000100015,INF01_100,INF01_1028,INF01_WestCoast,INF01_INBank-APAC,INF01_INBank-APAC-Ops,2500,EA,17500,USD,2024-04-01,Delivered
INF01_3000100016,INF01_100,INF01_1029,INF01_ITC,INF01_INBank-APAC,INF01_INBank-APAC-Ops,3000,EA,27000,USD,2024-04-01,Delivered
INF01_3000100017,INF01_100,INF01_1022,INF01_PGPaper,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,4600,EA,46000,USD,2024-07-01,Delivered
INF01_3000100018,INF01_100,INF01_1023,INF01_CalcoPaper,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,4500,EA,58500,USD,2024-07-01,Delivered
INF01_3000100019,INF01_100,INF01_1024,INF01_Domtar,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,4700,EA,65800,USD,2024-07-01,Delivered
INF01_3000100020,INF01_100,INF01_1025,INF01_Verso,INF01_INBank-US,INF01_INBank-US-Ops,4500,EA,36000,USD,2024-07-01,Delivered
INF01_3000100021,INF01_100,INF01_1026,INF01_Sappi,INF01_INBank-US,INF01_INBank-US-Ops,2700,EA,24300,USD,2024-07-01,Delivered
INF01_3000100022,INF01_100,INF01_1027,INF01_JKaper,INF01_INBank-APAC,INF01_INBank-APAC-Ops,2400,EA,14400,USD,2024-07-01,Delivered
INF01_3000100023,INF01_100,INF01_1028,INF01_WestCoast,INF01_INBank-APAC,INF01_INBank-APAC-Ops,2600,EA,18200,USD,2024-07-01,Delivered
INF01_3000100024,INF01_100,INF01_1029,INF01_ITC,INF01_INBank-APAC,INF01_INBank-APAC-Ops,2800,EA,25200,USD,2024-07-01,Delivered
INF01_3000100025,INF01_100,INF01_1022,INF01_PGPaper,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,4600,EA,46000,USD,2024-10-01,Delivered
INF01_3000100026,INF01_100,INF01_1023,INF01_CalcoPaper,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,4500,EA,58500,USD,2024-10-01,Delivered
INF01_3000100027,INF01_100,INF01_1024,INF01_Domtar,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,4700,EA,65800,USD,2024-10-01,Delivered
INF01_3000100028,INF01_100,INF01_1025,INF01_Verso,INF01_INBank-US,INF01_INBank-US-Ops,4500,EA,36000,USD,2024-10-01,Delivered
INF01_3000100029,INF01_100,INF01_1026,INF01_Sappi,INF01_INBank-US,INF01_INBank-US-Ops,2700,EA,24300,USD,2024-10-01,Delivered
INF01_3000100030,INF01_100,INF01_1027,INF01_JKaper,INF01_INBank-APAC,INF01_INBank-APAC-Ops,2100,EA,12600,USD,2024-10-01,Delivered
INF01_3000100031,INF01_100,INF01_1028,INF01_WestCoast,INF01_INBank-APAC,INF01_INBank-APAC-Ops,2000,EA,14000,USD,2024-10-01,Delivered
INF01_3000100032,INF01_100,INF01_1029,INF01_ITC,INF01_INBank-APAC,INF01_INBank-APAC-Ops,2400,EA,21600,USD,2024-10-01,Delivered
INF01_3000200025,INF01_100,INF01_1022,INF01_PGPaper,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,3600,EA,36000,USD,2025-01-01,Delivered
INF01_3000200026,INF01_100,INF01_1023,INF01_CalcoPaper,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,4200,EA,54600,USD,2025-01-01,Delivered
INF01_3000200027,INF01_100,INF01_1024,INF01_Domtar,INF01_INBank-EMEA,INF01_INBank-EMEA-Ops,3900,EA,54600,USD,2025-01-01,Delivered
INF01_3000200028,INF01_100,INF01_1025,INF01_Verso,INF01_INBank-US,INF01_INBank-US-Ops,3200,EA,25600,USD,2025-01-01,Delivered
INF01_3000200029,INF01_100,INF01_1026,INF01_Sappi,INF01_INBank-US,INF01_INBank-US-Ops,3400,EA,30600,USD,2025-01-01,Delivered
INF01_3000200030,INF01_100,INF01_1027,INF01_JKaper,INF01_INBank-APAC,INF01_INBank-APAC-Ops,1600,EA,9600,USD,2025-01-01,Delivered
INF01_3000200031,INF01_100,INF01_1028,INF01_WestCoast,INF01_INBank-APAC,INF01_INBank-APAC-Ops,1800,EA,12600,USD,2025-01-01,Delivered
INF01_3000200032,INF01_100,INF01_1029,INF01_ITC,INF01_INBank-APAC,INF01_INBank-APAC-Ops,2000,EA,18000,USD,2025-01-01,Delivered
